Timestamp: Mon, 30 Oct 2023 00:57:23 GMT | Method: POST | URL: /api/decks/most-played-cards | Status: 404 | Response Time: 21.160 ms
Timestamp: Mon, 30 Oct 2023 00:58:08 GMT | Method: POST | URL: /api/decks/most-played-cards | Status: 404 | Response Time: 1.475 ms
Timestamp: Mon, 30 Oct 2023 01:03:40 GMT | Method: POST | URL: /api/decks/most-played-cards | Status: 404 | Response Time: 7.902 ms
Timestamp: Mon, 30 Oct 2023 01:05:58 GMT | Method: POST | URL: /api/decks/most-played-cards | Status: 404 | Response Time: 6.138 ms
Timestamp: Mon, 30 Oct 2023 01:06:18 GMT | Method: POST | URL: /api/ | Status: 404 | Response Time: 4.347 ms
Timestamp: Mon, 30 Oct 2023 01:06:28 GMT | Method: POST | URL: /api/decks | Status: 404 | Response Time: 1.411 ms
Timestamp: Mon, 30 Oct 2023 01:06:43 GMT | Method: POST | URL: /api/decks | Status: 404 | Response Time: 6.555 ms
Timestamp: Mon, 30 Oct 2023 01:07:00 GMT | Method: POST | URL: /api/decks/most-played-cards | Status: 404 | Response Time: 5.528 ms
Timestamp: Mon, 30 Oct 2023 01:07:48 GMT | Method: POST | URL: /api/decks/most-played-cards | Status: 404 | Response Time: 6.157 ms
Timestamp: Mon, 30 Oct 2023 01:08:20 GMT | Method: POST | URL: /api/decks/most-played-cards | Status: 404 | Response Time: 8.480 ms
Timestamp: Mon, 30 Oct 2023 01:36:28 GMT | Method: POST | URL: /api/decks/most-played-cards | Status: 404 | Response Time: 5.438 ms
Timestamp: Mon, 30 Oct 2023 01:40:23 GMT | Method: POST | URL: /api/decks/most-played-cards | Status: 404 | Response Time: 4.866 ms
Timestamp: Mon, 30 Oct 2023 18:32:03 GMT | Method: POST | URL: /api/decks/most-played-cards | Status: 404 | Response Time: 17.597 ms
