Timestamp: Thu, 02 Nov 2023 01:03:14 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/Ad%20Nauseam | Status: 404 | Response Time: 6.540 ms
Timestamp: Thu, 02 Nov 2023 01:03:52 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences | Status: 400 | Response Time: 295.746 ms
Timestamp: Thu, 02 Nov 2023 01:04:30 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/Ad%20Nauseam | Status: 404 | Response Time: 1.262 ms
Timestamp: Thu, 02 Nov 2023 01:05:45 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/Ad%20Nauseam | Status: 400 | Response Time: 185.449 ms
Timestamp: Thu, 02 Nov 2023 01:05:59 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/Ad%20Nauseam | Status: 400 | Response Time: 10.869 ms
Timestamp: Thu, 02 Nov 2023 01:06:29 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/ | Status: 400 | Response Time: 6.291 ms
Timestamp: Thu, 02 Nov 2023 01:06:35 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/ | Status: 400 | Response Time: 9.002 ms
Timestamp: Thu, 02 Nov 2023 01:06:42 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/ | Status: 400 | Response Time: 7.045 ms
Timestamp: Thu, 02 Nov 2023 01:07:57 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/ | Status: 400 | Response Time: 6.195 ms
Timestamp: Thu, 02 Nov 2023 01:08:30 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/ | Status: 400 | Response Time: 5.597 ms
Timestamp: Thu, 02 Nov 2023 01:09:03 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/ | Status: 400 | Response Time: 8.634 ms
Timestamp: Thu, 02 Nov 2023 01:09:26 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/ | Status: 400 | Response Time: 6.010 ms
Timestamp: Thu, 02 Nov 2023 01:12:25 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/DemonicTutor | Status: 404 | Response Time: 2.309 ms
Timestamp: Thu, 02 Nov 2023 01:13:27 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/?cardName=Ad%20Nauseam | Status: 400 | Response Time: 197.565 ms
Timestamp: Thu, 02 Nov 2023 01:13:31 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences | Status: 400 | Response Time: 12.925 ms
Timestamp: Thu, 02 Nov 2023 01:13:38 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/Ad%20Nauseam | Status: 404 | Response Time: 0.983 ms
Timestamp: Thu, 02 Nov 2023 01:19:57 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/Ad%20Nauseam | Status: 404 | Response Time: 0.853 ms
Timestamp: Thu, 02 Nov 2023 01:20:24 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/Ad%20Nauseam | Status: 404 | Response Time: 1.165 ms
Timestamp: Thu, 02 Nov 2023 01:54:05 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/Demonic%20Tutor | Status: 404 | Response Time: 18.887 ms
Timestamp: Thu, 02 Nov 2023 01:54:08 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/Demonic%20Tutor | Status: 404 | Response Time: 3.144 ms
Timestamp: Thu, 02 Nov 2023 01:54:14 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/Demonic%20Tutor | Status: 404 | Response Time: 0.954 ms
Timestamp: Thu, 02 Nov 2023 01:54:51 GMT | Method: GET | URL: /api/decks/findNumberOfOccurrences/Ad%20Nauseam | Status: 404 | Response Time: 0.718 ms
